18/03/11 02:40:08 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.3-hadoop2
18/03/11 02:40:08 INFO client.RMProxy: Connecting to ResourceManager at cluster-919f-m/10.138.0.3:8032
18/03/11 02:40:10 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
18/03/11 02:40:12 INFO input.FileInputFormat: Total input files to process : 3035
18/03/11 02:40:13 INFO mapreduce.JobSubmitter: number of splits:3035
18/03/11 02:40:13 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1520621190214_0005
18/03/11 02:40:13 INFO impl.YarnClientImpl: Submitted application application_1520621190214_0005
18/03/11 02:40:13 INFO mapreduce.Job: The url to track the job: http://cluster-919f-m:8088/proxy/application_1520621190214_0005/
18/03/11 02:40:13 INFO mapreduce.Job: Running job: job_1520621190214_0005
18/03/11 02:40:21 INFO mapreduce.Job: Job job_1520621190214_0005 running in uber mode : false
18/03/11 02:40:21 INFO mapreduce.Job:  map 0% reduce 0%
18/03/11 02:41:00 INFO mapreduce.Job:  map 1% reduce 0%
18/03/11 02:41:52 INFO mapreduce.Job:  map 2% reduce 0%
18/03/11 02:42:43 INFO mapreduce.Job:  map 3% reduce 0%
18/03/11 02:43:35 INFO mapreduce.Job:  map 4% reduce 0%
18/03/11 02:44:25 INFO mapreduce.Job:  map 5% reduce 0%
18/03/11 02:45:12 INFO mapreduce.Job:  map 6% reduce 0%
18/03/11 02:46:00 INFO mapreduce.Job:  map 7% reduce 0%
18/03/11 02:46:57 INFO mapreduce.Job:  map 8% reduce 0%
18/03/11 02:47:44 INFO mapreduce.Job:  map 9% reduce 0%
18/03/11 02:48:33 INFO mapreduce.Job:  map 10% reduce 0%
18/03/11 02:49:19 INFO mapreduce.Job:  map 11% reduce 0%
18/03/11 02:50:08 INFO mapreduce.Job:  map 12% reduce 0%
18/03/11 02:50:58 INFO mapreduce.Job:  map 13% reduce 0%
18/03/11 02:51:43 INFO mapreduce.Job:  map 14% reduce 0%
18/03/11 02:52:33 INFO mapreduce.Job:  map 15% reduce 0%
18/03/11 02:53:19 INFO mapreduce.Job:  map 16% reduce 0%
18/03/11 02:54:06 INFO mapreduce.Job:  map 17% reduce 0%
18/03/11 02:54:57 INFO mapreduce.Job:  map 18% reduce 0%
18/03/11 02:55:42 INFO mapreduce.Job:  map 19% reduce 0%
18/03/11 02:56:29 INFO mapreduce.Job:  map 20% reduce 0%
18/03/11 02:57:20 INFO mapreduce.Job:  map 21% reduce 0%
18/03/11 02:58:05 INFO mapreduce.Job:  map 22% reduce 0%
18/03/11 02:58:53 INFO mapreduce.Job:  map 23% reduce 0%
18/03/11 02:59:42 INFO mapreduce.Job:  map 24% reduce 0%
18/03/11 03:00:27 INFO mapreduce.Job:  map 25% reduce 0%
18/03/11 03:01:14 INFO mapreduce.Job:  map 26% reduce 0%
18/03/11 03:02:08 INFO mapreduce.Job:  map 27% reduce 0%
18/03/11 03:02:52 INFO mapreduce.Job:  map 28% reduce 0%
18/03/11 03:03:41 INFO mapreduce.Job:  map 29% reduce 0%
18/03/11 03:04:27 INFO mapreduce.Job:  map 30% reduce 0%
18/03/11 03:05:16 INFO mapreduce.Job:  map 31% reduce 0%
18/03/11 03:06:06 INFO mapreduce.Job:  map 32% reduce 0%
18/03/11 03:06:51 INFO mapreduce.Job:  map 33% reduce 0%
18/03/11 03:07:36 INFO mapreduce.Job:  map 34% reduce 0%
18/03/11 03:08:25 INFO mapreduce.Job:  map 35% reduce 0%
18/03/11 03:09:12 INFO mapreduce.Job:  map 36% reduce 0%
18/03/11 03:09:59 INFO mapreduce.Job:  map 37% reduce 0%
18/03/11 03:10:45 INFO mapreduce.Job:  map 38% reduce 0%
18/03/11 03:11:33 INFO mapreduce.Job:  map 39% reduce 0%
18/03/11 03:12:18 INFO mapreduce.Job:  map 40% reduce 0%
18/03/11 03:13:04 INFO mapreduce.Job:  map 41% reduce 0%
18/03/11 03:13:49 INFO mapreduce.Job:  map 42% reduce 0%
18/03/11 03:14:33 INFO mapreduce.Job:  map 43% reduce 0%
18/03/11 03:15:21 INFO mapreduce.Job:  map 44% reduce 0%
18/03/11 03:16:07 INFO mapreduce.Job:  map 45% reduce 0%
18/03/11 03:16:49 INFO mapreduce.Job:  map 46% reduce 0%
18/03/11 03:17:37 INFO mapreduce.Job:  map 47% reduce 0%
18/03/11 03:18:24 INFO mapreduce.Job:  map 48% reduce 0%
18/03/11 03:19:09 INFO mapreduce.Job:  map 49% reduce 0%
18/03/11 03:19:58 INFO mapreduce.Job:  map 50% reduce 0%
18/03/11 03:20:42 INFO mapreduce.Job:  map 51% reduce 0%
18/03/11 03:21:29 INFO mapreduce.Job:  map 52% reduce 0%
18/03/11 03:22:17 INFO mapreduce.Job:  map 53% reduce 0%
18/03/11 03:23:02 INFO mapreduce.Job:  map 54% reduce 0%
18/03/11 03:23:48 INFO mapreduce.Job:  map 55% reduce 0%
18/03/11 03:24:32 INFO mapreduce.Job:  map 56% reduce 0%
18/03/11 03:25:18 INFO mapreduce.Job:  map 57% reduce 0%
18/03/11 03:26:08 INFO mapreduce.Job:  map 58% reduce 0%
18/03/11 03:26:50 INFO mapreduce.Job:  map 59% reduce 0%
18/03/11 03:27:37 INFO mapreduce.Job:  map 60% reduce 0%
18/03/11 03:28:21 INFO mapreduce.Job:  map 61% reduce 0%
18/03/11 03:29:06 INFO mapreduce.Job:  map 62% reduce 0%
18/03/11 03:29:57 INFO mapreduce.Job:  map 63% reduce 0%
18/03/11 03:30:40 INFO mapreduce.Job:  map 64% reduce 0%
18/03/11 03:31:22 INFO mapreduce.Job:  map 65% reduce 0%
18/03/11 03:32:07 INFO mapreduce.Job:  map 66% reduce 0%
18/03/11 03:32:53 INFO mapreduce.Job:  map 67% reduce 0%
18/03/11 03:33:37 INFO mapreduce.Job:  map 68% reduce 0%
18/03/11 03:34:21 INFO mapreduce.Job:  map 69% reduce 0%
18/03/11 03:35:13 INFO mapreduce.Job:  map 70% reduce 0%
18/03/11 03:35:56 INFO mapreduce.Job:  map 71% reduce 0%
18/03/11 03:36:46 INFO mapreduce.Job:  map 72% reduce 0%
18/03/11 03:37:30 INFO mapreduce.Job:  map 73% reduce 0%
18/03/11 03:38:11 INFO mapreduce.Job:  map 74% reduce 0%
18/03/11 03:38:57 INFO mapreduce.Job:  map 75% reduce 0%
18/03/11 03:39:38 INFO mapreduce.Job:  map 76% reduce 0%
18/03/11 03:40:22 INFO mapreduce.Job:  map 77% reduce 0%
18/03/11 03:41:10 INFO mapreduce.Job:  map 78% reduce 0%
18/03/11 03:41:55 INFO mapreduce.Job:  map 79% reduce 0%
18/03/11 03:42:38 INFO mapreduce.Job:  map 80% reduce 0%
18/03/11 03:43:21 INFO mapreduce.Job:  map 81% reduce 0%
18/03/11 03:44:08 INFO mapreduce.Job:  map 82% reduce 0%
18/03/11 03:44:54 INFO mapreduce.Job:  map 83% reduce 0%
18/03/11 03:45:37 INFO mapreduce.Job:  map 84% reduce 0%
18/03/11 03:46:19 INFO mapreduce.Job:  map 85% reduce 0%
18/03/11 03:47:04 INFO mapreduce.Job:  map 86% reduce 0%
18/03/11 03:47:49 INFO mapreduce.Job:  map 87% reduce 0%
18/03/11 03:48:34 INFO mapreduce.Job:  map 88% reduce 0%
18/03/11 03:49:19 INFO mapreduce.Job:  map 89% reduce 0%
18/03/11 03:50:04 INFO mapreduce.Job:  map 90% reduce 0%
18/03/11 03:50:47 INFO mapreduce.Job:  map 91% reduce 0%
18/03/11 03:51:33 INFO mapreduce.Job:  map 92% reduce 0%
18/03/11 03:52:15 INFO mapreduce.Job:  map 93% reduce 0%
18/03/11 03:52:59 INFO mapreduce.Job:  map 94% reduce 0%
18/03/11 03:53:42 INFO mapreduce.Job:  map 95% reduce 0%
18/03/11 03:54:26 INFO mapreduce.Job:  map 95% reduce 3%
18/03/11 03:54:29 INFO mapreduce.Job:  map 95% reduce 7%
18/03/11 03:54:30 INFO mapreduce.Job:  map 95% reduce 11%
18/03/11 03:54:33 INFO mapreduce.Job:  map 95% reduce 15%
18/03/11 03:54:37 INFO mapreduce.Job:  map 96% reduce 15%
18/03/11 03:55:14 INFO mapreduce.Job:  map 96% reduce 16%
18/03/11 03:55:33 INFO mapreduce.Job:  map 97% reduce 16%
